mondoid,protein_id,did,name
MONDO:0010679,2770,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,6977,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,1147,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,3883,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,2302,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,1148,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,6602,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,15464,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,20366,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,11889,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,20109,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,1100,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,12224,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,18635,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,11421,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,17207,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,6895,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,932,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,14114,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,15760,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,6467,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,15805,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,4405,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,3217,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,12130,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,6111,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,10146,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,20188,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,6991,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,18766,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,10906,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,1990,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,3998,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,10030,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,6300,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,9112,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,12576,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,3416,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,19385,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,10228,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,13132,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,9749,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,13410,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,2242,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,2333,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,575,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,10929,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,9336,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,6903,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,19331,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,7579,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,3834,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,19787,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,17061,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,3304,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,3379,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,8489,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,12042,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,11956,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,14091,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,1062,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,18259,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,14535,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,20403,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,8756,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,2152,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,2442,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,12838,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,12597,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,1800,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,2974,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,12636,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,878,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,11805,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,3321,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,12077,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,9049,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,4950,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,9832,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,11391,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,16842,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,12184,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,5115,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,7536,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,10760,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,17131,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,12742,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,16350,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,1836,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,5776,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,1638,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,5477,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,5513,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,8406,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,14610,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,2441,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,5883,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,11108,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,7999,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,19947,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,8230,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,375,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,9243,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,9849,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,78,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,14154,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,2393,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,18638,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,19304,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,2372,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,19121,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,13270,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,8527,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,13837,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,7709,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,751,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,2181,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,4300,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,5053,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,12865,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,6401,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,1497,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,13987,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,2998,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,8057,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,4998,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,19143,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,216,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,13055,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,2657,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,6830,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,17367,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,13177,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,9716,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,12081,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,5921,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,8289,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,12094,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,5485,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,11863,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,4433,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,6365,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,8204,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,16937,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,13684,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,3347,DOID:11723,Duchenne muscular dystrophy
